FILENAME,POET,POEM
Jarir-Baana Al K.png,Jarir,Baana Al Khaliito
Jarir-Inni Imrii.png,Jarir,Inni Imriin
Khalil Mat-Al Qoloubo.png,Khalil Matran,Al Qoloubo Wal Moqalo
Khalil Mat-Alaama Yok.png,Khalil Matran,Alaama Yokaamo timthaali
Khalil Mat-Hakou Lana.png,Khalil Matran,Hakou Lana
Lobayd Ibn-Moallaqa.png,Lobayd Ibn Rabiia,Moallaqa
Mahmoud Sa-Mas3aak.png,Mahmoud Sami Al Baroudi,Mas3aak
Mahmoud Sa-Waylaho Mi.png,Mahmoud Sami Al Baroudi,Waylaho Min Nari Alhawa
Mikhail No-Sakfo bayt.png,Mikhail Noayma,Sakfo bayti hadid
Moein Bass-Al Milad.png,Moein Bassissou,Al Milad
Mohammed A-Janniniini.png,Mohammed Asmouni,Janniniini wa stariihi
Mostafa Sa-Kaasouki Y.png,Mostafa Sadek Al Rafii,Kaasouki Yaa Chamso Al Doha
Obayd Ibn -Moallaqa.png,Obayd Ibn Al Abrass,Moallaqa
Omar Ibn A-Alaa yaa b.png,Omar Ibn Abii Rabiia,Alaa yaa bakro kad taraqaa
Omar Ibn A-Taribto Wa.png,Omar Ibn Abii Rabiia,Taribto Warda Man Tahwaa
Omayma Bin-Abaa Layli.png,Omayma Bint Omaya,Abaa Layli
Omroo Al K-Liman Tala.png,Omroo Al Kays,Liman Talalon Bayna Al Jodayyati Wal Jabal
Omroo Al K-Moallaqa.png,Omroo Al Kays,Moallaqa
Omroo Al K-Ya Dara Ma.png,Omroo Al Kays,Ya Dara Mawiyata
Qays Ibn A-Alaa Fasal.png,Qays Ibn Al Molawah,Alaa Fasali Al Rokban
Safiy Al D-Ayna Filhi.png,Safiy Al Din Al Hilli,Ayna Filhimaa Arabo
Safiy Al D-Chakawto I.png,Safiy Al Din Al Hilli,Chakawto Ilayki aljawaa
Siham Al B-Bariiqo Al.png,Siham Al Brahmi,Bariiqo Al Hibr
Souleyman -Yaa Taarik.png,Souleyman Ben Sahman,Yaa Taarikan Limaraadi Allah
Taabbata C-Inna Bi Ch.png,Taabbata Charran,Inna Bi Chaabi
Tarafa Ibn-Achajaaka .png,Tarafa Ibn Al Abd,Achajaaka Al rab3o
Tarafa Ibn-Moallaqa.png,Tarafa Ibn Al Abd,Moallaqa
Zohayr Ibn-Amin Aali .png,Zohayr Ibn Abi Salma,Amin Aali Layla
Zohayr Ibn-Bana Alkha.png,Zohayr Ibn Abi Salma,Bana Alkhalit
Zohayr Ibn-Moallaqa.png,Zohayr Ibn Abi Salma,Moallaqa
