fun,metric,method,attributes,k,hopkins,dunn,silhouette,calinhara,davisbouldin,bad
kmeans,euclidean,ward.D2,USG-POT-REP-DIV-EVE,2,0.792082337525602,0.0417421024839498,0.261418456168748,30.92,1.85577795184388,6
kmeans,euclidean,ward.D2,USG-POT-REP-DIV-VAR,2,0.78347772402246,0.0641394764823267,0.337536739557615,48.87,1.5021900679355,7
kmeans,euclidean,ward.D2,USG-POT-REP-EVE-VAR,2,0.771923167244338,0.10083807634661,0.305944780965112,30.19,1.89100401084697,16
kmeans,euclidean,ward.D2,USG-POT-DIV-EVE-VAR,2,0.775734841965937,0.0874714224606909,0.294787908620279,37.2,1.73512287303736,7
kmeans,euclidean,ward.D2,USG-REP-DIV-EVE-VAR,2,0.798723592749837,0.0879603073976341,0.346252835347756,48.94,1.5416272728022,14
kmeans,euclidean,ward.D2,POT-REP-DIV-EVE-VAR,2,0.764199983302591,0.0818536537155469,0.319825433049315,48.03,1.55098221790845,13
kmeans,euclidean,ward.D2,USG-POT-REP-DIV-EVE,3,0.792082337525602,0.112884292549551,0.274060593185557,33.67,1.48813863019437,14
kmeans,euclidean,ward.D2,USG-POT-REP-DIV-VAR,3,0.78347772402246,0.0817876434433941,0.318868256435059,46.82,1.23554056732335,4
kmeans,euclidean,ward.D2,USG-POT-REP-EVE-VAR,3,0.771923167244338,0.0456546961313222,0.278291119666294,32.85,1.49415661153417,12
kmeans,euclidean,ward.D2,USG-POT-DIV-EVE-VAR,3,0.775734841965937,0.0804440366884635,0.26626056444632,34.19,1.49978676065631,7
kmeans,euclidean,ward.D2,USG-REP-DIV-EVE-VAR,3,0.798723592749837,0.111205619709986,0.352109764272624,40.57,1.28587427100772,12
kmeans,euclidean,ward.D2,POT-REP-DIV-EVE-VAR,3,0.764199983302591,0.0728090596890961,0.229369210630191,39.4,1.4955999021365,11
kmeans,euclidean,ward.D2,USG-POT-REP-DIV-EVE,4,0.792082337525602,0.104260500412634,0.242557387048828,33.38,1.31243263579945,12
kmeans,euclidean,ward.D2,USG-POT-REP-DIV-VAR,4,0.78347772402246,0.0817876434433941,0.264211575512867,43.71,1.28568318446596,7
kmeans,euclidean,ward.D2,USG-POT-REP-EVE-VAR,4,0.771923167244338,0.113375635508832,0.254202743171354,32.43,1.36489460373091,5
kmeans,euclidean,ward.D2,USG-POT-DIV-EVE-VAR,4,0.775734841965937,0.106078262467474,0.239742857205046,33.11,1.34253283044025,9
kmeans,euclidean,ward.D2,USG-REP-DIV-EVE-VAR,4,0.798723592749837,0.0547181625151334,0.334664009901502,40.53,1.30895012255403,6
kmeans,euclidean,ward.D2,POT-REP-DIV-EVE-VAR,4,0.764199983302591,0.071225661319452,0.248328726448825,38.38,1.47297983920997,9
kmeans,euclidean,ward.D2,USG-POT-REP-DIV-EVE,5,0.792082337525602,0.0640031201460551,0.226889972906749,31.12,1.20550562307311,18
kmeans,euclidean,ward.D2,USG-POT-REP-DIV-VAR,5,0.78347772402246,0.0998333524746748,0.281307135117564,45.84,1.2136590257927,5
kmeans,euclidean,ward.D2,USG-POT-REP-EVE-VAR,5,0.771923167244338,0.0897704640779558,0.224202846406094,31.68,1.40878876647615,2
kmeans,euclidean,ward.D2,USG-POT-DIV-EVE-VAR,5,0.775734841965937,0.0698932601043465,0.172986504461742,28.11,1.47529733544271,14
kmeans,euclidean,ward.D2,USG-REP-DIV-EVE-VAR,5,0.798723592749837,0.0470065533449875,0.250378771690059,41.11,1.23721273536507,3
kmeans,euclidean,ward.D2,POT-REP-DIV-EVE-VAR,5,0.764199983302591,0.107227324372971,0.262542609331627,39.51,1.30606628101575,10
kmeans,euclidean,ward.D2,USG-POT-REP-DIV-EVE,6,0.792082337525602,0.0512920918424425,0.234091772550515,30.19,1.27578936649541,5
kmeans,euclidean,ward.D2,USG-POT-REP-DIV-VAR,6,0.78347772402246,0.0776424407810808,0.261791027815279,41.48,1.22837595371092,5
kmeans,euclidean,ward.D2,USG-POT-REP-EVE-VAR,6,0.771923167244338,0.0964174092489907,0.266915976029926,33.83,1.23162149310353,10
kmeans,euclidean,ward.D2,USG-POT-DIV-EVE-VAR,6,0.775734841965937,0.0955931654091166,0.225169794018121,33.44,1.31944346687966,8
kmeans,euclidean,ward.D2,USG-REP-DIV-EVE-VAR,6,0.798723592749837,0.114492426142771,0.227260185126735,39.71,1.30883052793732,8
kmeans,euclidean,ward.D2,POT-REP-DIV-EVE-VAR,6,0.764199983302591,0.112786651042591,0.250160144091835,35.63,1.38276754726801,8
