fun,metric,method,attributes,k,hopkins,dunn,silhouette,calinhara,davisbouldin,bad
kmeans,euclidean,ward.D2,USG-POT,2,0.856382886287406,0.0130914175282488,0.464617451894862,91.02,1.12992519004201,7
kmeans,euclidean,ward.D2,USG-REP,2,0.87545187823828,0.029626833432441,0.533599565074655,76.58,0.858704067617327,0
kmeans,euclidean,ward.D2,USG-DIV,2,0.793127517472152,0.0186891982178095,0.408821461147242,69.7,1.28772076638455,8
kmeans,euclidean,ward.D2,USG-EVE,2,0.841974702094604,0.0958632556465149,0.53060696283702,45.25,0.989455440286578,1
kmeans,euclidean,ward.D2,USG-VAR,2,0.853554527974367,0.04418566495849,0.438025839229303,63.16,1.33267405551661,2
kmeans,euclidean,ward.D2,POT-REP,2,0.703497170409208,0.0835802372913159,0.413093371978018,73.74,1.19961887100847,0
kmeans,euclidean,ward.D2,POT-DIV,2,0.744405103568097,0.0703547163504394,0.392129435415962,69.74,1.23910066840528,2
kmeans,euclidean,ward.D2,POT-EVE,2,0.752112446567916,0.065798666792153,0.389239247634041,70.11,1.19925263007501,1
kmeans,euclidean,ward.D2,POT-VAR,2,0.71786076718296,0.0724626301482482,0.391082157070099,68.88,1.2115917341156,1
kmeans,euclidean,ward.D2,REP-DIV,2,0.740327406390733,0.0332455410009104,0.469451831455473,108.44,1.03330975854225,8
kmeans,euclidean,ward.D2,REP-EVE,2,0.694635588334622,0.0443559756464138,0.551020678184418,73.36,1.15713558658889,5
kmeans,euclidean,ward.D2,REP-VAR,2,0.82834892690299,0.0279330581362985,0.52559889386479,116.94,0.995944261228029,5
kmeans,euclidean,ward.D2,DIV-EVE,2,0.831648172056775,0.0173210542920792,0.415540659647079,73.03,1.26489929703509,8
kmeans,euclidean,ward.D2,DIV-VAR,2,0.804960894436254,0.025273166809303,0.513019747601484,161.29,0.827945562201002,2
kmeans,euclidean,ward.D2,EVE-VAR,2,0.814317786586536,0.0170996859506553,0.38857816967471,64.54,1.11505832311771,2
kmeans,euclidean,ward.D2,USG-POT,3,0.856382886287406,0.0440463661835599,0.490862796971589,107.59,0.782131874131198,2
kmeans,euclidean,ward.D2,USG-REP,3,0.87545187823828,0.0771969482009691,0.579504215720958,116.57,0.701424809983138,0
kmeans,euclidean,ward.D2,USG-DIV,3,0.793127517472152,0.0612244172092994,0.454516805097182,93.11,0.888305814906398,2
kmeans,euclidean,ward.D2,USG-EVE,3,0.841974702094604,0.0386398793162151,0.400829421653847,73.79,1.02756372598926,5
kmeans,euclidean,ward.D2,USG-VAR,3,0.853554527974367,0.0668024570205787,0.45820822295265,86.56,0.816231961366654,2
kmeans,euclidean,ward.D2,POT-REP,3,0.703497170409208,0.090479821921211,0.525710763527258,146.02,0.740768970981372,1
kmeans,euclidean,ward.D2,POT-DIV,3,0.744405103568097,0.0766511761686681,0.462089424807521,102.46,0.888846675154878,1
kmeans,euclidean,ward.D2,POT-EVE,3,0.752112446567916,0.03584229390681,0.398507915855192,89.88,0.978344465508253,1
kmeans,euclidean,ward.D2,POT-VAR,3,0.71786076718296,0.0720837317608072,0.458860935475201,98.31,0.901660191651972,1
kmeans,euclidean,ward.D2,REP-DIV,3,0.740327406390733,0.0383653395584939,0.498452723933817,170.61,0.80392208053073,1
kmeans,euclidean,ward.D2,REP-EVE,3,0.694635588334622,0.029046913411821,0.412087013646797,89.19,1.01406440334858,4
kmeans,euclidean,ward.D2,REP-VAR,3,0.82834892690299,0.0355033043356025,0.488084787350557,154.62,0.868782101695098,1
kmeans,euclidean,ward.D2,DIV-EVE,3,0.831648172056775,0.0694384741654503,0.486847995432416,111.71,0.829262134561165,1
