ID,METER,FP1P,FP1S,FP2P,FP2S,FP3P,FP3S,FP4P,FP4S,SP1P,SP1S,SP2P,SP2S,SP3P,SP3S,SP4P,SP4S
51,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilon,SLLL
53,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'ilon,SLSL
54,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'iilon,SLLL
56,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'iilon,SLLL,fa'oolon,SLL,mafaa'ilon,SLSL
57,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'iilon,SLLL,fa'oolon,SLL,mafaa'iilon,SLLL
59,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'iilon,SLLL,fa'oolo,SLS,mafaa'ilon,SLSL
60,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'iilon,SLLL,fa'oolo,SLS,mafaa'iilon,SLLL
62,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilon,SLSL
63,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilon,SLLL
65,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'ilon,SLSL
66,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'iilon,SLLL
68,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilon,SLLL,fa'oolon,SLL,mafaa'ilon,SLSL
69,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilon,SLLL,fa'oolon,SLL,mafaa'iilon,SLLL
71,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilon,SLLL,fa'oolo,SLS,mafaa'ilon,SLSL
72,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilon,SLLL,fa'oolo,SLS,mafaa'iilon,SLLL
73,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,fa'oolo,SLS,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,fa'oolon,SLL
