POETRY,USG,POT,REP,DIV,EVE,VAR
Ahmed Chawqui - Bayna Sam3i Allah,0.12,6,0.5,1.309,0.944,0.745
Ahmed Chawqui - Fachawdato Riwaayaton,0.154,2,0.05,1.748,0.729,1.524
Ahmed Chawqui - Modnaka,0.18,4,0.111,0.591,0.852,0
Ahmed Chawqui - Yabna Zaydoun Marhaba,0.171,4,0.533,1.011,0.921,0.802
Ahmed Rami - Ila Um Kolthoum,0.078,2,0.129,1.53,0.854,0.91
Al Aacha - Moallaqa,0.165,2,0.136,1.268,0.708,0.968
Al Akhtal - Kad Gharrahom,0.041,3,0.182,1.419,0.882,1.136
Al Bohtori - Maa Lilkabiiri Min Ghawaani,0.192,10,0.08,0.989,0.9,1.282
Al Boussiri - Al Borda,0.1,2,0.175,1.364,0.761,1.012
Al Charif Al Mortada - Ilaa Kam Aqoudo Qawman,0.07,2,1,0.693,1,0
Al Harith Ibn Hiliza - A 3amrou,0.032,2,0.125,1,0.911,0.886
Al Harith Ibn Hiliza - Moallaqa,0.3,3,0.06,1.509,0.775,1.101
Al Hays Bays - Wa Bilqasri Arihi,0.05,1,0.5,0.974,0.887,0.513
Al Hosari Al Qayrawani - Ya Laylo Al Sabbo,0.147,4,0.091,0.655,0.946,0
Al Khansae - Alaa Abki 3laa Sakhr,0.033,2,0.4,1.381,0.996,0.949
Al Khansae - Marahat 3ayni,0.143,9,0.368,1.082,0.985,0.905
Al Manfalouti - Ayyoha Al Fatiko Al Athiimo,0.108,6,0.167,1.282,0.925,1.32
Al Motanabbi - A haqon 3afa bidam3ika,0.098,2,0.182,1.3,0.668,0.833
Al Motanabbi - Aid,0.038,1,0.167,1.475,0.758,0.98
Al Motanabbi - Lahawa Alnofouss,0.252,7,0.139,0.67,0.61,0.167
Al Motanabbi - Maa Lilmorouji Al khodri,0.35,5,0.143,1.048,0.954,0.853
Al Motanabbi - Wa chaamikin mina al jibaali,0.065,7,0.083,1.49,0.832,1.12
Al Naabigha Al Dobiaani - Moallaqa,0.125,2,0.1,1.316,0.734,1.039
Ali Al Jaarem - Al Chariid,0.469,6,0.081,1.344,0.835,0.888
Amr Ibn Kolthoum - Bakarat Ta3tholoni,0.047,8,0.143,1.069,0.771,0.976
Amr Ibn Kolthoum - Moallaqa,0.25,1,0.14,1.096,0.998,0
Antara Ibn Chaddad - Moallaqa,0.712,8,0.067,0.685,0.989,0
