FILENAME,POET,POEM
Ilyass Abo-Laa Yachoq.csv,Ilyass Abou Chabaka,Laa Yachoqona arabon
Jamil Sidk-Inna man q.csv,Jamil Sidki Al Zahawi,Inna man qad jabbalak
Jarir-Baana Al K.csv,Jarir,Baana Al Khaliito
Jarir-Inni Imrii.csv,Jarir,Inni Imriin
Khalil Mat-Al Qoloubo.csv,Khalil Matran,Al Qoloubo Wal Moqalo
Khalil Mat-Alaama Yok.csv,Khalil Matran,Alaama Yokaamo timthaali
Khalil Mat-Hakou Lana.csv,Khalil Matran,Hakou Lana
Lobayd Ibn-Moallaqa.csv,Lobayd Ibn Rabiia,Moallaqa
Mahmoud Sa-Mas3aak.csv,Mahmoud Sami Al Baroudi,Mas3aak
Mahmoud Sa-Waylaho Mi.csv,Mahmoud Sami Al Baroudi,Waylaho Min Nari Alhawa
Mikhail No-Sakfo bayt.csv,Mikhail Noayma,Sakfo bayti hadid
Moein Bass-Al Milad.csv,Moein Bassissou,Al Milad
Mohammed A-Janniniini.csv,Mohammed Asmouni,Janniniini wa stariihi
Mostafa Sa-Kaasouki Y.csv,Mostafa Sadek Al Rafii,Kaasouki Yaa Chamso Al Doha
Obayd Ibn -Moallaqa.csv,Obayd Ibn Al Abrass,Moallaqa
Omar Ibn A-Alaa yaa b.csv,Omar Ibn Abii Rabiia,Alaa yaa bakro kad taraqaa
Omar Ibn A-Taribto Wa.csv,Omar Ibn Abii Rabiia,Taribto Warda Man Tahwaa
Omayma Bin-Abaa Layli.csv,Omayma Bint Omaya,Abaa Layli
Omroo Al K-Liman Tala.csv,Omroo Al Kays,Liman Talalon Bayna Al Jodayyati Wal Jabal
Omroo Al K-Moallaqa.csv,Omroo Al Kays,Moallaqa
Omroo Al K-Ya Dara Ma.csv,Omroo Al Kays,Ya Dara Mawiyata
Qays Ibn A-Alaa Fasal.csv,Qays Ibn Al Molawah,Alaa Fasali Al Rokban
Safiy Al D-Ayna Filhi.csv,Safiy Al Din Al Hilli,Ayna Filhimaa Arabo
Safiy Al D-Chakawto I.csv,Safiy Al Din Al Hilli,Chakawto Ilayki aljawaa
Siham Al B-Bariiqo Al.csv,Siham Al Brahmi,Bariiqo Al Hibr
Souleyman -Yaa Taarik.csv,Souleyman Ben Sahman,Yaa Taarikan Limaraadi Allah
Taabbata C-Inna Bi Ch.csv,Taabbata Charran,Inna Bi Chaabi
Tarafa Ibn-Achajaaka .csv,Tarafa Ibn Al Abd,Achajaaka Al rab3o
Tarafa Ibn-Moallaqa.csv,Tarafa Ibn Al Abd,Moallaqa
Zohayr Ibn-Amin Aali .csv,Zohayr Ibn Abi Salma,Amin Aali Layla
Zohayr Ibn-Bana Alkha.csv,Zohayr Ibn Abi Salma,Bana Alkhalit
Zohayr Ibn-Moallaqa.csv,Zohayr Ibn Abi Salma,Moallaqa
